상품명,가격,rating,rating_num
"샤오미 2세대 10000mAh 보조배터리 + 실리콘케이스 랜덤발송, PLM02ZM, 다크네이비",16110,4.5,2094
"샤오미 미밴드2, 블랙",24450,4.5,9722
"오리온 초코송이, 36g, 18개입",7920,5.0,1232
"청담은 오가닉 라이스 퍼프 레인보우 볼 5종 세트, 베지, 바나나, 사과, 딸기, 치즈, 1세트",16800,4.5,1168
"광천맛김 해달음 광천 녹차올리브 도시락김, 4g, 32개입",6250,4.5,1113
"삼양라면 매운맛 120g, 12개입",5800,4.5,1590
"잘풀리는집 다용도 안심 천연펄프 키친타올 130매, 12롤",4800,4.0,6297
"삐아 라스트 립스틱3 3.5g, 13 예술적",6000,4.5,915
"다우니 초고농축 섬유유연제 레몬그라스와 라일락 본품, 1L, 3개",9930,4.5,24247
"페리페라 잉크 컬러 마스카라, 2호 블랙에스프레소",5970,4.5,555
"파스퇴르 무항생제 바른목장 우유 125ml*24팩, 125ml, 24개입",16060,4.5,1334
"다우니 퍼퓸 미스티크 섬유유연제 본품, 1L, 3개",12500,4.5,3731
"미주라 토스트 비스켓, 320g",3500,4.0,1960
"실크테라피 오리지널 헤어에센스 60ml + 15ml, 2P, 1세트",8830,4.5,605
"키친아트 본 핑크 후라이팬 세트, 1세트, 프라이팬+궁중팬+뚜껑+에그팬+소스팬",28900,4.5,704
"디와이스 라크로스볼 싱글 + 땅콩 마사지볼 세트, 랜덤 발송",13900,4.5,1573
"매일유업 매일두유 99.89, 190ml, 24개",9610,4.5,3758
"삐아 라스트 펜 아이라이너 0.6g, 02 샤픈브라운",4800,4.5,4692
"낙서하고 물로 지워지는 아이키즈펜, 6개입",5100,4.0,876
"My Little Tiger 두뇌 연습장 14 선긋기, 삼성출판사",2610,4.5,131
"한예지 미니 천연펄프 미용티슈 2겹, 6개입, 1팩",4300,4.5,1285
"액츠 파워젤 일반용 세제, 4.21L",7900,4.5,20202
"좋은느낌 순수 롱 팬티라이너, 81개입",4500,4.5,1070
"깨끗한나라 순수 프리미엄 천연펄프 3겹 데코 롤화장지 30m, 30롤",12550,4.5,13262
"설화수 자음 기초 화장품 2종 세트, 1세트",86900,4.5,102
"하기스 2017년 매직팬티 팬티형 기저귀 여아용 특대형 5단계 13~18kg, 120매",41730,4.5,2890
"키즈세이프 2단계 유아칫솔, 랜덤발송, 10개",7630,4.5,1008
"웻앤와일드 컨투어 브러쉬, 혼합 색상",2500,4.5,485
"카카오프렌즈 일자 필통, 라이언",7110,5.0,209
"리얼테크닉 아이 쉐이드 + 블렌드 브러쉬, 혼합 색상, 1세트",5280,4.5,141
"오리온 미쯔 블랙, 42g, 6개입",2670,5.0,3986
"동아 손에 묻지 않는 노랑병아리 크레용 2p, 24색",6800,4.5,177
"고구마명가 꿀고구마 말랭이, 60g, 5개",7940,4.0,3741
"웅진 빅토리아 플레인 탄산수, 500ml, 20개",8800,5.0,12932
"김정문 알로에 큐어 플러스 크림 페이셜크림, 80g",10510,4.5,704
"윤우네무드등 하와이안 무드등, 선인장(GREEN)",3830,4.5,174
"M.A.C 맥 립스틱, 루비우",27000,4.5,374
"코코도르 뉴플라워 디퓨저, 블랙체리",7900,4.5,1302
"CJ제일제당 고메 크리스피 핫도그, 480g, 2개",12950,4.5,2673
"포스트 오레오 오즈 시리얼, 500g",7300,4.5,5501
"에스앤씨 건강한 혼닭 닭가슴살 큐브 샐러드 6종 세트, 고다치즈 180g + 슈퍼곡물 180g + 청양고추 180g + 시금치 180g + 단호박 180g + 커리 180g, 1세트",19800,4.5,3799
"탐사 퓨어 100% 천연펄프 3겹 롤화장지 30m, 30롤, 1팩",12900,4.5,173
"스마트스터디 핑크퐁 가방퍼즐 상어가족, 1세트, 89피스",9100,4.5,285
"훈와리메이진 콩가루 모찌, 85g, 3개",7800,5.0,3550
"베지밀 달콤한 비 두유, 190ml, 24개입",11610,5.0,3865
"핑크퐁 상어가족 스케치북 5권 랜덤 발송, 8절, 22매",7480,4.5,50
신지모루 마그네틱 카 마운트 차량용 거치대,8420,4.5,4279
"오뚜기 즉석 3분 쇠고기 세트, 카레 200g 4개입 + 짜장 200g 2개입, 1세트",5870,4.5,3499
"아토세이프 집먼지진드기 액체세제 본품, 2.5L, 4개",9900,4.5,4771
"딩동펫 반려견 스트레스 해소용품 종합선물세트, 스탠다드, 1세트",29800,5.0,51
리딕글로벌 PETRA MK 게이밍 유선 키보드 마우스 세트,15800,4.5,2410
"스팸 클래식 200g 4p + 마일드 200g 2p, 2종, 1세트",13250,5.0,622
"한예지 천연펄프 3겹 데코 롤화장지 27m, 30롤, 1팩",8100,4.5,19703
"유기농본 골드 일반 팬티라이너, 40매입, 1팩",3900,4.5,113
"렌지셰프 한입 야채 돈까스, 1kg",10900,4.0,3564
"진푸드시스템 연남동 기사식당 왕돈까스 기획세트, 왕돈까스 3장 + 특제소스 3팩, 1세트",17300,4.5,1077
"99샵 리빙앳홈 싱크대 배수구 거름망, 200매입",4900,4.5,2766
"쿠첸 미니 밥솥 3~4인용, CJE-A0305",53900,4.5,304
"올맘 모던 5단 서랍장, 화이트",35050,4.0,195
"티롤 초코 콩가루 모찌, 49g, 5개",6380,4.5,236
"농협 2017년 대왕님표 여주쌀, 10KG, 1포",29700,4.5,7450
"네이쳐리빙 카페 스윙 인테리어 휴지통, 그레이",5510,4.5,55
"이케아 LACK TV 장식장, 블랙",17990,4.0,428
"농협 제주 천혜향, 2kg(11~13과), 1박스",19900,4.0,193
"군 2018년 오리지널 테이프 밴드형 기저귀 남여공용 대형 L(9~14kg), 162매입",41060,4.5,112
"종근당건강 락토핏 생유산균 골드 50포, 2000mg",14140,4.5,11688
"켈로그 크랜베리 아몬드 그래놀라, 500g",5310,4.5,1046
"리큐 진한겔 일반용 액상세제 리필, 2.1L, 4개입",13680,4.5,18122
"퍼실 파워젤 드럼용 액상세제 본품, 3L",13900,4.5,1761
"토모 원목 애견 식탁세트 2구, 혼합 색상",9920,4.0,836
"켈로그 콘푸로스트 시리얼, 600g",3980,4.5,18597
"닥터유 다이제 초코 비스켓, 1040g, 1박스",7720,5.0,1165
"퐁퐁 베이킹소다, 3L",4640,4.5,23734
"파스퇴르 멸균 흰우유, 200ml, 24팩",13670,4.5,5577
"앙블랑 저자극 아기물티슈 인디핑크 캡형, 72매, 10개",16400,4.5,9972
"스카치브라이트 제로스크래치 항균 스펀지 수세미, 1개입, 5개",4160,4.5,2622
"에뛰드하우스 룩 앳 마이 아이즈 아이섀도, BR422 솔솔 말린 솔방울",3000,4.5,350
"네이쳐러브메레 꽃을 담은 유아 세탁세제 국화향 리필 1300ml, 2개입",5940,4.5,1141
"위즈웰 딥프라이어 미니 튀김기 실버, WH2100",27900,4.5,218
"키즈웰 젤리 스트로우, 19.3g, 60개입",8400,4.5,3416
"코멕스 마이사이즈 면코팅 고무장갑 그린, 5개입",6730,4.0,5216
"브라운 저자극 프리미엄 아기물티슈 캡형, 72매, 10팩",16460,4.5,5072
"브링미 방수 앞치마, 멜란지그레이",7560,4.0,80
"어퓨 마데카소사이드 시카 겔 크림, 50ml",10400,4.5,222
"네이쳐리빙 모던블랙 레터링 양념통세트, 1세트, 양념통 350ml 4p + 한글스티커",6030,4.5,423
"릴리유 무민 리미티드 에디션 유아물티슈 캡형, 80매입, 10팩",10700,4.5,98
이니스프리 노세범 미네랄 파우더 5g,4850,4.5,3075
"하기스 2017년 보송 보송 드라이 팬티형 기저귀 여아용 특대형 5단계 (13~18kg), 104매",27740,4.5,715
"유하우스 난달라 2겹 아크릴수세미, 5개입, 1세트",5900,5.0,121
"키친아트 가넷 블랙에디션 스텐포트, KMD-1500S-1",7730,4.5,1022
"풀무원 생면식감 돈코츠라멘 116g, 8개입",9800,4.0,18
탐사패드 일반형(53*43cm) 흡수력 3단계 120매,15600,4.5,1204
"비오클라쎄 밀크바오밥 베이비 모이스처 고보습 로션, 500ml",12630,4.0,687
"피지오겔 데일리 모이스쳐 테라피 페이셜 크림, 150ml",19900,4.5,10888
"애플 에어팟 블루투스이어폰, MMEF2KH/A, 혼합 색상",196330,5.0,330
"뽀로로 유아 칫솔세트 7p, 혼합 색상, 1세트",13010,4.5,1098
"농심 신라면, 40개입",23560,4.5,11622
"삐아 라스트 벨벳 립틴트3 5g, 14 매정보스",5700,4.5,106
"까사마루 서랍형 수납박스 23L, 그레이, 2개",8190,4.5,3075
"삐아 라스트 블러쉬 가루 블러셔 2.5g, 07 아몬드블로썸",4500,4.5,733
